MUNICIPIO,COD,porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Paz,1201,8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguanqueterique,1202,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabañas,1203,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cane,1204,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinacla,1205,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guajiquiro,1206,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauterique,1207,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcala,1208,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes de Oriente,1209,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opatoro,1210,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio del Norte,1211,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San José,1212,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Juan,1213,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Pedro de Tutule,1214,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Ana,1215,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Elena,1216,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa María,1217,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago de Puringla,1218,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yarula,1219,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gracias,1301,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belén,1302,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelaria,1303,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cololaca,1304,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erandique,1305,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gualcince,1306,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guarita,1307,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Campa,1308,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Iguala,1309,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Flores,1310,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Unión,1311,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Virtud,1312,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepaera,1313,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mapulaca,1314,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piraera,1315,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Andrés,1316,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,1317,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Juan Guarita,1318,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Manuel Colohete,1319,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Rafael,1320,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Sebastián,1321,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,1322,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talgua,1323,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tambla,1324,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomalá,1325,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valladolid,1326,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,1327,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marcos de Caiquín,1328,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocotepeque,1401,15.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belén Gualcho,1402,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepción,1403,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolores Merendón,1404,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraternidad,1405,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Encarnación,1406,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Labor,1407,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucerna,1408,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes,1409,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Fernando,1410,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco del Valle,1411,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jorge,1412,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marcos,1413,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Fe,1414,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensenti,1415,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinuapa,1416,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juticalpa,1501,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campamento,1502,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catacamas,1503,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concordia,1504,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dulce Nombre de Culmí,1505,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Rosario,1506,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esquipulas del Norte,1507,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gualaco,1508,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guarizama,1509,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guata,1510,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guayape,1511,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jano,1512,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Unión,1513,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangulile,1514,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manto,1515,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamá,1516,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Esteban,1517,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco de Becerra,1518,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco de La Paz,1519,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa María del Real,1520,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silca,1521,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yocón,1522,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patuca,1523,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Bárbara,1601,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arada,1602,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atima,1603,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azacualpa,1604,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceguaca,1605,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepción del Norte,1606,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepción del Sur,1607,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinda,1608,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Níspero,1609,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gualala,1610,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilama,1611,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macuelizo,1612,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naranjito,1613,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuevo Celilac,1614,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petoa,1615,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protección,1616,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quimistán,1617,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco de Ojuera,1618,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San José de Colinas,1619,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis,1620,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marcos,1621,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Nicolás,1622,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Pedro Zacapa,1623,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Vicente Centenario,1624,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Rita,1625,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad,1626,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas,1627,9.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nueva Frontera,1628,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nacaome,1701,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alianza,1702,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amapala,1703,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramecina,1704,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caridad,1705,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goascorán,1706,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langue,1707,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco de Coray,1708,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Lorenzo,1709,8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoro,1801,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenal,1802,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Negrito,1803,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Progreso,1804,10.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jocón,1805,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morazán,1806,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olanchito,1807,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Rita,1808,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulaco,1809,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,1810,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yorito,1811,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
